Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
ARG,Argentina,10,141,1,2,4,3
BGD,Bangladesh,10,109,0,3,2,5
BOL,Bolivia,2,16,0,0,0,2
BRA,Brazil,10,156,1,2,4,3
KHM,Cambodia,10,40,0,0,0,3
CAN,Canada,10,162,1,2,4,3
COL,Colombia,10,70,0,2,1,2
CRI,Costa Rica,8,42,0,1,0,1
ECU,Ecuador,10,12,0,0,0,1
SLV,El Salvador,7,41,0,2,0,0
GTM,Guatemala,2,10,0,0,0,0
HKG,Hong Kong,10,132,1,2,4,3
IND,India,10,156,1,2,4,3
IDN,Indonesia,10,167,1,2,4,3
IRN,Islamic Republic of Iran,10,193,1,2,4,3
JPN,Japan,10,167,1,2,4,2
KAZ,Kazakhstan,10,154,1,2,4,3
KOR,Republic of Korea,10,240,1,2,4,3
KGZ,Kyrgyzstan,8,46,0,0,1,3
MYS,Malaysia,10,90,1,1,3,1
MEX,Mexico,10,139,0,3,4,3
NZL,New Zealand,10,85,0,1,4,2
NIC,Nicaragua,4,36,0,0,1,3
MKD,Macedonia,9,28,0,0,0,2
PAK,Pakistan,9,58,0,0,2,1
PAN,Panama,2,22,0,1,0,1
PER,Peru,10,132,1,2,4,3
PHL,Philippines,10,102,0,2,3,5
RUS,Russia,10,194,1,2,4,3
SAU,Saudi Arabia,10,116,0,3,4,3
SGP,Singapore,10,202,1,2,4,3
LKA,Sri Lanka,9,51,0,0,0,6
SYR,Syria,10,100,0,3,2,4
TWN,Taiwan,10,159,1,2,4,3
TJK,Tajikistan,10,92,0,1,2,7
THA,Thailand,10,200,1,2,4,3
TTO,Trinidad and Tobago,5,13,0,0,0,1
TKM,Turkmenistan,10,79,0,1,0,6
ARE,United Arab Emirates,10,16,0,0,0,0
USA,United States of America,10,212,1,2,4,3
URY,Uruguay,4,6,0,0,0,0
